description,industry,level,size,line_code,value
Currently employed on: permanent employment agreements - 20 to 49,Retail trade,1,total,C0201,417
Currently employed on: permanent employment agreements - 20 to 49,Accommodation & food services,1,total,C0201,474
Currently employed on: permanent employment agreements - 20 to 49,"Transport, postal, & warehousing",1,total,C0201,324
Currently employed on: permanent employment agreements - 20 to 49,Information media & telecommunications,1,total,C0201,60
Currently employed on: permanent employment agreements - 20 to 49,Publishing,2,total,C0201,18
Currently employed on: permanent employment agreements - 20 to 49,Motion picture,2,total,C0201,15
Currently employed on: permanent employment agreements - 20 to 49,Telecommunications,2,total,C0201,24
Currently employed on: permanent employment agreements - 20 to 49,Financial & insurance services,1,total,C0201,78
Currently employed on: permanent employment agreements - 20 to 49,Finance,2,total,C0201,30
Currently employed on: permanent employment agreements - 20 to 49,Insurance,2,total,C0201,12
Currently employed on: permanent employment agreements - 20 to 49,Auxiliary,2,total,C0201,36
Currently employed on: permanent employment agreements - 20 to 49,"Rental, hiring, & real estate services",1,total,C0201,165
Currently employed on: permanent employment agreements - 20 to 49,"Professional, scientific, & technical services",1,total,C0201,699
Currently employed on: permanent employment agreements - 20 to 49,Computer systems design,2,total,C0201,180
Currently employed on: permanent employment agreements - 20 to 49,Other professional scientific,2,total,C0201,525
Currently employed on: permanent employment agreements - 20 to 49,Administrative & support services,1,total,C0201,216
Currently employed on: permanent employment agreements - 20 to 49,Education & training,1,total,C0201,165
Currently employed on: permanent employment agreements - 20 to 49,Health care & social assistance,1,total,C0201,423
Currently employed on: permanent employment agreements - 20 to 49,Arts & recreation services,1,total,C0201,75
Currently employed on: permanent employment agreements - 20 to 49,Other services,1,total,C0201,111
Currently employed on: permanent employment agreements - 20 to 49,total,0,total,C0201,5643
Currently employed on: permanent employment agreements - 40 to 99,total,0,6–19 employees,C0201,1263
Currently employed on: permanent employment agreements - 40 to 99,total,0,20–49 employees,C0201,687
Currently employed on: permanent employment agreements - 40 to 99,total,0,50–99 employees,C0201,1494
Currently employed on: permanent employment agreements - 40 to 99,total,0,100+ employees,C0201,288
Currently employed on: permanent employment agreements - 40 to 99,"Agriculture, forestry, & fishing",1,total,C0201,201
Currently employed on: permanent employment agreements - 40 to 99,Agriculture,2,total,C0201,153
Currently employed on: permanent employment agreements - 40 to 99,Commercial fishing,2,total,C0201,0
Currently employed on: permanent employment agreements - 40 to 99,Forestry & logging,2,total,C0201,6
Currently employed on: permanent employment agreements - 40 to 99,"Agriculture, forestry, & fishing support services",2,total,C0201,39
Currently employed on: permanent employment agreements - 40 to 99,Mining,1,total,C0201,18
Currently employed on: permanent employment agreements - 40 to 99,Manufacturing,1,total,C0201,618
Currently employed on: permanent employment agreements - 40 to 99,"Food, beverage, & tobacco",2,total,C0201,174
Currently employed on: permanent employment agreements - 40 to 99,"Textile, clothing, footwear, & leather",2,total,C0201,33
Currently employed on: permanent employment agreements - 40 to 99,Wood & paper product,2,total,C0201,72
Currently employed on: permanent employment agreements - 40 to 99,"Printing, publishing, & recorded media",2,total,C0201,30
Currently employed on: permanent employment agreements - 40 to 99,"Petroleum, coal, chemical, & associated product",2,total,C0201,57
Currently employed on: permanent employment agreements - 40 to 99,Non-metallic mineral product,2,total,C0201,24
Currently employed on: permanent employment agreements - 40 to 99,Metal product,2,total,C0201,81
Currently employed on: permanent employment agreements - 40 to 99,Transport and industrial machinery & equipment,2,total,C0201,84
Currently employed on: permanent employment agreements - 40 to 99,Other machinery & equipment,2,total,C0201,33
Currently employed on: permanent employment agreements - 40 to 99,Other manufacturing,2,total,C0201,27
Currently employed on: permanent employment agreements - 40 to 99,"Electricity, gas, water, & waste services",1,total,C0201,15
Currently employed on: permanent employment agreements - 40 to 99,Construction,1,total,C0201,408
Currently employed on: permanent employment agreements - 40 to 99,Wholesale trade,1,total,C0201,297
Currently employed on: permanent employment agreements - 40 to 99,Machinery & equipment wholesaling,2,total,C0201,120
Currently employed on: permanent employment agreements - 40 to 99,Other wholesale trade,2,total,C0201,177
Currently employed on: permanent employment agreements - 40 to 99,Retail trade,1,total,C0201,330
Currently employed on: permanent employment agreements - 40 to 99,Accommodation & food services,1,total,C0201,372
Currently employed on: permanent employment agreements - 40 to 99,"Transport, postal, & warehousing",1,total,C0201,150
Currently employed on: permanent employment agreements - 40 to 99,Information media & telecommunications,1,total,C0201,33
Currently employed on: permanent employment agreements - 40 to 99,Publishing,2,total,C0201,9
Currently employed on: permanent employment agreements - 40 to 99,Motion picture,2,total,C0201,9
Currently employed on: permanent employment agreements - 40 to 99,Telecommunications,2,total,C0201,12
Currently employed on: permanent employment agreements - 40 to 99,Financial & insurance services,1,total,C0201,54
Currently employed on: permanent employment agreements - 40 to 99,Finance,2,total,C0201,15
Currently employed on: permanent employment agreements - 40 to 99,Insurance,2,total,C0201,3
Currently employed on: permanent employment agreements - 40 to 99,Auxiliary,2,total,C0201,39
Currently employed on: permanent employment agreements - 40 to 99,"Rental, hiring, & real estate services",1,total,C0201,75
Currently employed on: permanent employment agreements - 40 to 99,"Professional, scientific, & technical services",1,total,C0201,414
Currently employed on: permanent employment agreements - 40 to 99,Computer systems design,2,total,C0201,90
Currently employed on: permanent employment agreements - 40 to 99,Other professional scientific,2,total,C0201,327
Currently employed on: permanent employment agreements - 40 to 99,Administrative & support services,1,total,C0201,144
Currently employed on: permanent employment agreements - 40 to 99,Education & training,1,total,C0201,93
Currently employed on: permanent employment agreements - 40 to 99,Health care & social assistance,1,total,C0201,378
Currently employed on: permanent employment agreements - 40 to 99,Arts & recreation services,1,total,C0201,51
Currently employed on: permanent employment agreements - 40 to 99,Other services,1,total,C0201,78
Currently employed on: permanent employment agreements - 40 to 99,total,0,total,C0201,3735
Currently employed on: permanent employment agreements - 100 or more,total,0,6–19 employees,C0201,2712
Currently employed on: permanent employment agreements - 100 or more,total,0,20–49 employees,C0201,483
Currently employed on: permanent employment agreements - 100 or more,total,0,50–99 employees,C0201,210
Currently employed on: permanent employment agreements - 100 or more,total,0,100+ employees,C0201,1383
Currently employed on: permanent employment agreements - 100 or more,"Agriculture, forestry, & fishing",1,total,C0201,192
Currently employed on: permanent employment agreements - 100 or more,Agriculture,2,total,C0201,111
Currently employed on: permanent employment agreements - 100 or more,Commercial fishing,2,total,C0201,3
Currently employed on: permanent employment agreements - 100 or more,Forestry & logging,2,total,C0201,33
Currently employed on: permanent employment agreements - 100 or more,"Agriculture, forestry, & fishing support services",2,total,C0201,48
Currently employed on: permanent employment agreements - 100 or more,Mining,1,total,C0201,12
Currently employed on: permanent employment agreements - 100 or more,Manufacturing,1,total,C0201,648
Currently employed on: permanent employment agreements - 100 or more,"Food, beverage, & tobacco",2,total,C0201,126
Currently employed on: permanent employment agreements - 100 or more,"Textile, clothing, footwear, & leather",2,total,C0201,24
Currently employed on: permanent employment agreements - 100 or more,Wood & paper product,2,total,C0201,75
Currently employed on: permanent employment agreements - 100 or more,"Printing, publishing, & recorded media",2,total,C0201,21
Currently employed on: permanent employment agreements - 100 or more,"Petroleum, coal, chemical, & associated product",2,total,C0201,60
Currently employed on: permanent employment agreements - 100 or more,Non-metallic mineral product,2,total,C0201,21
Currently employed on: permanent employment agreements - 100 or more,Metal product,2,total,C0201,111
Currently employed on: permanent employment agreements - 100 or more,Transport and industrial machinery & equipment,2,total,C0201,132
Currently employed on: permanent employment agreements - 100 or more,Other machinery & equipment,2,total,C0201,33
Currently employed on: permanent employment agreements - 100 or more,Other manufacturing,2,total,C0201,42
Currently employed on: permanent employment agreements - 100 or more,"Electricity, gas, water, & waste services",1,total,C0201,24
Currently employed on: permanent employment agreements - 100 or more,Construction,1,total,C0201,627
Currently employed on: permanent employment agreements - 100 or more,Wholesale trade,1,total,C0201,270
Currently employed on: permanent employment agreements - 100 or more,Machinery & equipment wholesaling,2,total,C0201,102
Currently employed on: permanent employment agreements - 100 or more,Other wholesale trade,2,total,C0201,165
Currently employed on: permanent employment agreements - 100 or more,Retail trade,1,total,C0201,909
Currently employed on: permanent employment agreements - 100 or more,Accommodation & food services,1,total,C0201,522
Currently employed on: permanent employment agreements - 100 or more,"Transport, postal, & warehousing",1,total,C0201,174
Currently employed on: permanent employment agreements - 100 or more,Information media & telecommunications,1,total,C0201,45
Currently employed on: permanent employment agreements - 100 or more,Publishing,2,total,C0201,9
Currently employed on: permanent employment agreements - 100 or more,Motion picture,2,total,C0201,15
Currently employed on: permanent employment agreements - 100 or more,Telecommunications,2,total,C0201,18
Currently employed on: permanent employment agreements - 100 or more,Financial & insurance services,1,total,C0201,78
Currently employed on: permanent employment agreements - 100 or more,Finance,2,total,C0201,30
Currently employed on: permanent employment agreements - 100 or more,Insurance,2,total,C0201,15
Currently employed on: permanent employment agreements - 100 or more,Auxiliary,2,total,C0201,36
Currently employed on: permanent employment agreements - 100 or more,"Rental, hiring, & real estate services",1,total,C0201,90
Currently employed on: permanent employment agreements - 100 or more,"Professional, scientific, & technical services",1,total,C0201,561
Currently employed on: permanent employment agreements - 100 or more,Computer systems design,2,total,C0201,102
Currently employed on: permanent employment agreements - 100 or more,Other professional scientific,2,total,C0201,462
Currently employed on: permanent employment agreements - 100 or more,Administrative & support services,1,total,C0201,183
Currently employed on: permanent employment agreements - 100 or more,Education & training,1,total,C0201,45
Currently employed on: permanent employment agreements - 100 or more,Health care & social assistance,1,total,C0201,252
Currently employed on: permanent employment agreements - 100 or more,Arts & recreation services,1,total,C0201,21
Currently employed on: permanent employment agreements - 100 or more,Other services,1,total,C0201,129
Currently employed on: permanent employment agreements - 100 or more,total,0,total,C0201,4788
Currently employed on: fixed-term employment agreements - 0,total,0,6–19 employees,C0202,28272
Currently employed on: fixed-term employment agreements - 0,total,0,20–49 employees,C0202,6147
Currently employed on: fixed-term employment agreements - 0,total,0,50–99 employees,C0202,1488
Currently employed on: fixed-term employment agreements - 0,total,0,100+ employees,C0202,861
Currently employed on: fixed-term employment agreements - 0,"Agriculture, forestry, & fishing",1,total,C0202,2790
Currently employed on: fixed-term employment agreements - 0,Agriculture,2,total,C0202,1869
Currently employed on: fixed-term employment agreements - 0,Commercial fishing,2,total,C0202,42
Currently employed on: fixed-term employment agreements - 0,Forestry & logging,2,total,C0202,252
Currently employed on: fixed-term employment agreements - 0,"Agriculture, forestry, & fishing support services",2,total,C0202,624
Currently employed on: fixed-term employment agreements - 0,Mining,1,total,C0202,78
Currently employed on: fixed-term employment agreements - 0,Manufacturing,1,total,C0202,4398
Currently employed on: fixed-term employment agreements - 0,"Food, beverage, & tobacco",2,total,C0202,822
Currently employed on: fixed-term employment agreements - 0,"Textile, clothing, footwear, & leather",2,total,C0202,237
Currently employed on: fixed-term employment agreements - 0,Wood & paper product,2,total,C0202,468
Currently employed on: fixed-term employment agreements - 0,"Printing, publishing, & recorded media",2,total,C0202,222
Currently employed on: fixed-term employment agreements - 0,"Petroleum, coal, chemical, & associated product",2,total,C0202,327
Currently employed on: fixed-term employment agreements - 0,Non-metallic mineral product,2,total,C0202,174
Currently employed on: fixed-term employment agreements - 0,Metal product,2,total,C0202,894
Currently employed on: fixed-term employment agreements - 0,Transport and industrial machinery & equipment,2,total,C0202,747
Currently employed on: fixed-term employment agreements - 0,Other machinery & equipment,2,total,C0202,189
Currently employed on: fixed-term employment agreements - 0,Other manufacturing,2,total,C0202,312
Currently employed on: fixed-term employment agreements - 0,"Electricity, gas, water, & waste services",1,total,C0202,120
Currently employed on: fixed-term employment agreements - 0,Construction,1,total,C0202,5130
Currently employed on: fixed-term employment agreements - 0,Wholesale trade,1,total,C0202,2709
Currently employed on: fixed-term employment agreements - 0,Machinery & equipment wholesaling,2,total,C0202,831
Currently employed on: fixed-term employment agreements - 0,Other wholesale trade,2,total,C0202,1875
Currently employed on: fixed-term employment agreements - 0,Retail trade,1,total,C0202,4104
Currently employed on: fixed-term employment agreements - 0,Accommodation & food services,1,total,C0202,5313
Currently employed on: fixed-term employment agreements - 0,"Transport, postal, & warehousing",1,total,C0202,1350
Currently employed on: fixed-term employment agreements - 0,Information media & telecommunications,1,total,C0202,309
Currently employed on: fixed-term employment agreements - 0,Publishing,2,total,C0202,99
Currently employed on: fixed-term employment agreements - 0,Motion picture,2,total,C0202,105
Currently employed on: fixed-term employment agreements - 0,Telecommunications,2,total,C0202,102
Currently employed on: fixed-term employment agreements - 0,Financial & insurance services,1,total,C0202,399
Currently employed on: fixed-term employment agreements - 0,Finance,2,total,C0202,132
Currently employed on: fixed-term employment agreements - 0,Insurance,2,total,C0202,12
Currently employed on: fixed-term employment agreements - 0,Auxiliary,2,total,C0202,258
Currently employed on: fixed-term employment agreements - 0,"Rental, hiring, & real estate services",1,total,C0202,828
Currently employed on: fixed-term employment agreements - 0,"Professional, scientific, & technical services",1,total,C0202,3702
Currently employed on: fixed-term employment agreements - 0,Computer systems design,2,total,C0202,660
Currently employed on: fixed-term employment agreements - 0,Other professional scientific,2,total,C0202,3045
Currently employed on: fixed-term employment agreements - 0,Administrative & support services,1,total,C0202,1311
Currently employed on: fixed-term employment agreements - 0,Education & training,1,total,C0202,633
Currently employed on: fixed-term employment agreements - 0,Health care & social assistance,1,total,C0202,2121
Currently employed on: fixed-term employment agreements - 0,Arts & recreation services,1,total,C0202,321
Currently employed on: fixed-term employment agreements - 0,Other services,1,total,C0202,1149
Currently employed on: fixed-term employment agreements - 0,total,0,total,C0202,36768
Currently employed on: fixed-term employment agreements - 1 to 19,total,0,6–19 employees,C0202,3663
Currently employed on: fixed-term employment agreements - 1 to 19,total,0,20–49 employees,C0202,1506
Currently employed on: fixed-term employment agreements - 1 to 19,total,0,50–99 employees,C0202,687
Currently employed on: fixed-term employment agreements - 1 to 19,total,0,100+ employees,C0202,741
Currently employed on: fixed-term employment agreements - 1 to 19,"Agriculture, forestry, & fishing",1,total,C0202,744
Currently employed on: fixed-term employment agreements - 1 to 19,Agriculture,2,total,C0202,519
Currently employed on: fixed-term employment agreements - 1 to 19,Commercial fishing,2,total,C0202,6
Currently employed on: fixed-term employment agreements - 1 to 19,Forestry & logging,2,total,C0202,6
Currently employed on: fixed-term employment agreements - 1 to 19,"Agriculture, forestry, & fishing support services",2,total,C0202,210
Currently employed on: fixed-term employment agreements - 1 to 19,Mining,1,total,C0202,30
Currently employed on: fixed-term employment agreements - 1 to 19,Manufacturing,1,total,C0202,765
Currently employed on: fixed-term employment agreements - 1 to 19,"Food, beverage, & tobacco",2,total,C0202,240
Currently employed on: fixed-term employment agreements - 1 to 19,"Textile, clothing, footwear, & leather",2,total,C0202,39
Currently employed on: fixed-term employment agreements - 1 to 19,Wood & paper product,2,total,C0202,42
Currently employed on: fixed-term employment agreements - 1 to 19,"Printing, publishing, & recorded media",2,total,C0202,27
Currently employed on: fixed-term employment agreements - 1 to 19,"Petroleum, coal, chemical, & associated product",2,total,C0202,105
Currently employed on: fixed-term employment agreements - 1 to 19,Non-metallic mineral product,2,total,C0202,15
Currently employed on: fixed-term employment agreements - 1 to 19,Metal product,2,total,C0202,84
Currently employed on: fixed-term employment agreements - 1 to 19,Transport and industrial machinery & equipment,2,total,C0202,123
Currently employed on: fixed-term employment agreements - 1 to 19,Other machinery & equipment,2,total,C0202,36
Currently employed on: fixed-term employment agreements - 1 to 19,Other manufacturing,2,total,C0202,57
Currently employed on: fixed-term employment agreements - 1 to 19,"Electricity, gas, water, & waste services",1,total,C0202,33
Currently employed on: fixed-term employment agreements - 1 to 19,Construction,1,total,C0202,450
Currently employed on: fixed-term employment agreements - 1 to 19,Wholesale trade,1,total,C0202,495
Currently employed on: fixed-term employment agreements - 1 to 19,Machinery & equipment wholesaling,2,total,C0202,129
Currently employed on: fixed-term employment agreements - 1 to 19,Other wholesale trade,2,total,C0202,363
Currently employed on: fixed-term employment agreements - 1 to 19,Retail trade,1,total,C0202,627
Currently employed on: fixed-term employment agreements - 1 to 19,Accommodation & food services,1,total,C0202,627
Currently employed on: fixed-term employment agreements - 1 to 19,"Transport, postal, & warehousing",1,total,C0202,225
Currently employed on: fixed-term employment agreements - 1 to 19,Information media & telecommunications,1,total,C0202,75
Currently employed on: fixed-term employment agreements - 1 to 19,Publishing,2,total,C0202,33
Currently employed on: fixed-term employment agreements - 1 to 19,Motion picture,2,total,C0202,24
Currently employed on: fixed-term employment agreements - 1 to 19,Telecommunications,2,total,C0202,18
Currently employed on: fixed-term employment agreements - 1 to 19,Financial & insurance services,1,total,C0202,153
Currently employed on: fixed-term employment agreements - 1 to 19,Finance,2,total,C0202,48
Currently employed on: fixed-term employment agreements - 1 to 19,Insurance,2,total,C0202,18
Currently employed on: fixed-term employment agreements - 1 to 19,Auxiliary,2,total,C0202,90
Currently employed on: fixed-term employment agreements - 1 to 19,"Rental, hiring, & real estate services",1,total,C0202,156
Currently employed on: fixed-term employment agreements - 1 to 19,"Professional, scientific, & technical services",1,total,C0202,786
Currently employed on: fixed-term employment agreements - 1 to 19,Computer systems design,2,total,C0202,153
Currently employed on: fixed-term employment agreements - 1 to 19,Other professional scientific,2,total,C0202,636
Currently employed on: fixed-term employment agreements - 1 to 19,Administrative & support services,1,total,C0202,360
Currently employed on: fixed-term employment agreements - 1 to 19,Education & training,1,total,C0202,297
Currently employed on: fixed-term employment agreements - 1 to 19,Health care & social assistance,1,total,C0202,510
Currently employed on: fixed-term employment agreements - 1 to 19,Arts & recreation services,1,total,C0202,126
Currently employed on: fixed-term employment agreements - 1 to 19,Other services,1,total,C0202,132
Currently employed on: fixed-term employment agreements - 1 to 19,total,0,total,C0202,6597
Currently employed on: fixed-term employment agreements - 20 to  49,total,0,6–19 employees,C0202,114
Currently employed on: fixed-term employment agreements - 20 to  49,total,0,20–49 employees,C0202,141
Currently employed on: fixed-term employment agreements - 20 to  49,total,0,50–99 employees,C0202,63
Currently employed on: fixed-term employment agreements - 20 to  49,total,0,100+ employees,C0202,132
Currently employed on: fixed-term employment agreements - 20 to  49,"Agriculture, forestry, & fishing",1,total,C0202,54
Currently employed on: fixed-term employment agreements - 20 to  49,Agriculture,2,total,C0202,18
